text,c_disp_j,n,basis,hours_at_h30
L au V 9h/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",21,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h
L au V 8h/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",16,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
L au V 9h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",13,parsed_text,Mon 9-17h | Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-17h
L au V 8h/20h,"{lundi,mardi,mercredi,jeudi,vendredi}",12,parsed_text,Mon 8-20h | Tue 8-20h | Wed 8-20h | Thu 8-20h | Fri 8-20h
8h-12h 13h-16h,"{lundi,mardi,mercredi,jeudi,vendredi}",9,parsed_text,Mon 8-12h 13-16h | Tue 8-12h 13-16h | Wed 8-12h 13-16h | Thu 8-12h 13-16h | Fri 8-12h 13-16h
L au V 8h30/17h30,"{lundi,mardi,mercredi,jeudi,vendredi}",8,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-17h
L au V 8h/12h 14h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",8,parsed_text,Mon 8-12h 14-17h | Tue 8-12h 14-17h | Wed 8-12h 14-17h | Thu 8-12h 14-17h | Fri 8-12h 14-17h
L au V 8h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",7,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-17h
L au V 9h/19h,"{lundi,mardi,mercredi,jeudi,vendredi}",7,parsed_text,Mon 9-19h | Tue 9-19h | Wed 9-19h | Thu 9-19h | Fri 9-19h
L au V 8h/19h,"{lundi,mardi,mercredi,jeudi,vendredi}",7,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
L au V 8h/17h30,"{lundi,mardi,mercredi,jeudi,vendredi}",6,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-17h
Lundi au vendredi 7h 19h,"{lundi,mardi,mercredi,jeudi,vendredi}",6,parsed_text,Mon 7-19h | Tue 7-19h | Wed 7-19h | Thu 7-19h | Fri 7-19h
L au V 8h30/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",5,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
L au V 7h30/19h S 8h/18h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",5,parsed_text,Mon 7-19h | Tue 7-19h | Wed 7-19h | Thu 7-19h | Fri 7-19h | Sat 8-18h
