scenario,day,hour,arr,pop_share,arr_pop
declared,Tue,3,75101,0.620597693439857,15617.5
declared,Tue,3,75102,0.232000558542858,19284.5
declared,Tue,3,75103,0.08712492796801294,32386.0
declared,Tue,3,75104,0.24137515487508363,22799.5
declared,Tue,3,75105,0.14875751343535132,41124.5
declared,Tue,3,75106,0.21699422573699648,32264.999999999996
declared,Tue,3,75107,0.220315306192129,45873.0
declared,Tue,3,75108,0.28099521787704806,37661.0
declared,Tue,3,75109,0.40963829895755743,52491.0
declared,Tue,3,75110,0.2758102138360263,81849.5
declared,Tue,3,75111,0.1259238314191606,130565.99999999999
declared,Tue,3,75112,0.11997320717948305,138440.44177335376
declared,Tue,3,75113,0.15177338354596626,167939.9038655723
declared,Tue,3,75114,0.11552220484318049,118918.16005921719
declared,Tue,3,75115,0.1138464121387772,213509.978186194
declared,Tue,3,75116,0.1495970722117046,158721.9553879362
declared,Tue,3,75117,0.13543698045231,155700.4569304713
declared,Tue,3,75118,0.15717953043953117,158588.97282913688
declared,Tue,3,75119,0.10956098367168716,175756.86880710768
declared,Tue,3,75120,0.07783125756987598,181633.45733693315
declared,Tue,12,75101,0.9825593778388894,15617.5
declared,Tue,12,75102,0.9799627718196489,19284.5
declared,Tue,12,75103,0.9737895673786064,32386.0
declared,Tue,12,75104,0.9156414208707125,22799.5
declared,Tue,12,75105,0.913596261789851,41124.5
declared,Tue,12,75106,0.9487460573439938,32264.999999999996
declared,Tue,12,75107,0.8213280333348566,45873.0
declared,Tue,12,75108,0.9756767366232759,37661.0
declared,Tue,12,75109,0.9744930020207581,52491.0
declared,Tue,12,75110,0.9017406717005652,81849.5
declared,Tue,12,75111,0.9317857691261849,130565.99999999999
declared,Tue,12,75112,0.7763826963870448,138440.44177335376
declared,Tue,12,75113,0.8481939064576794,167939.9038655723
declared,Tue,12,75114,0.7943748619338824,118918.16005921719
declared,Tue,12,75115,0.8333670609025471,213509.978186194
declared,Tue,12,75116,0.6993042753639358,158721.9553879362
