scenario,band,day,hour,threshold_m,pop_share,pop_share_node_alloc,residents_covered
declared,central,Mon,0,100,0.03904338003947963,0.047932561127410074,77350
declared,central,Mon,0,200,0.15209680021597952,0.16207896508920128,301324
declared,central,Mon,0,300,0.32456534733877046,0.33492762103276635,643007
declared,central,Mon,0,400,0.5202732389383764,0.531604549236914,1030730
declared,central,Mon,1,100,0.038654227827729606,0.047267104468080495,76579
declared,central,Mon,1,200,0.1513066417465956,0.16124892912306668,299759
declared,central,Mon,1,300,0.3238437056804992,0.33411982087036346,641577
declared,central,Mon,1,400,0.5194155345810694,0.5306393073963479,1029031
declared,central,Mon,2,100,0.038377100725144636,0.046899673411444735,76030
declared,central,Mon,2,200,0.15047001867977816,0.16033798522480777,298101
declared,central,Mon,2,300,0.3221611777495354,0.3322989801327074,638244
declared,central,Mon,2,400,0.5165855475171863,0.5277780764818557,1023425
declared,central,Mon,3,100,0.038377100725144636,0.046899673411444735,76030
declared,central,Mon,3,200,0.15047001867977816,0.16033798522480777,298101
declared,central,Mon,3,300,0.3221611777495354,0.3322989801327074,638244
declared,central,Mon,3,400,0.5165855475171863,0.5277780764818557,1023425
declared,central,Mon,4,100,0.038707467825858044,0.04749617536575303,76685
declared,central,Mon,4,200,0.15111978850254276,0.16109943737559765,299388
declared,central,Mon,4,300,0.32269991673162524,0.33290428414617584,639311
declared,central,Mon,4,400,0.5172801575288796,0.5286108604281885,1024801
declared,central,Mon,5,100,0.03875965360161014,0.04755384682924193,76788
declared,central,Mon,5,200,0.15131233117515996,0.16127925085541645,299770
declared,central,Mon,5,300,0.3229356076204606,0.333205551296843,639778
declared,central,Mon,5,400,0.5174184914167151,0.5287018787104631,1025075
declared,central,Mon,6,100,0.03926632567200314,0.04791373775107535,77792
declared,central,Mon,6,200,0.1532679623744268,0.16298032061000875,303644
declared,central,Mon,6,300,0.32617664386881656,0.3367452019853049,646199
declared,central,Mon,6,400,0.5212337799055771,0.5327889223843429,1032633
declared,central,Mon,7,100,0.044119746137993264,0.05328587605437843,87407
declared,central,Mon,7,200,0.17085354913652606,0.18186499632071323,338484
declared,central,Mon,7,300,0.359596533807205,0.37081238009627066,712408
declared,central,Mon,7,400,0.562727953534337,0.5740612233826559,1114839
declared,central,Mon,8,100,0.06015429744772148,0.0725215435628559,119174
declared,central,Mon,8,200,0.22698168298693194,0.23991344609087611,449681
declared,central,Mon,8,300,0.4563351632251358,0.47044765070064937,904061
declared,central,Mon,8,400,0.6782064634065265,0.6924934309968804,1343617
declared,central,Mon,9,100,0.38993742784186786,0.465526951786357,772518
declared,central,Mon,9,200,0.8350943587505997,0.8588397405881494,1654433
declared,central,Mon,9,300,0.9696071548638406,0.9727118687390187,1920920
declared,central,Mon,9,400,0.992419423604138,0.9919858993019842,1966115
declared,central,Mon,10,100,0.39058205388358364,0.4661131715051171,773795
declared,central,Mon,10,200,0.8355120022987566,0.8591469741158786,1655260
declared,central,Mon,10,300,0.9696071548638406,0.9727118687390187,1920920
declared,central,Mon,10,400,0.992419423604138,0.9919858993019842,1966115
declared,central,Mon,11,100,0.3905466738162043,0.4661004103627244,773725
declared,central,Mon,11,200,0.8354257886187114,0.8590537746657533,1655089
declared,central,Mon,11,300,0.9695687993219217,0.9726631358730213,1920844
declared,central,Mon,11,400,0.992419423604138,0.9919858993019842,1966115
declared,central,Mon,12,100,0.3878895528553314,0.46309216526657104,768461
declared,central,Mon,12,200,0.8342877132830075,0.858323066985344,1652835
declared,central,Mon,12,300,0.9691813396872931,0.9726446620875003,1920077
declared,central,Mon,12,400,0.992412064548601,0.9919858993019842,1966100
declared,central,Mon,13,100,0.3880359576482512,0.46325409447229904,768751
declared,central,Mon,13,200,0.8335614004958164,0.8576291476718201,1651396
declared,central,Mon,13,300,0.9688895653331788,0.9722669276670557,1919499
declared,central,Mon,13,400,0.992412064548601,0.9919858993019842,1966100
declared,central,Mon,14,100,0.3903275163129145,0.4657829739442591,773291
declared,central,Mon,14,200,0.8352634543132224,0.8589744742801702,1654768
declared,central,Mon,14,300,0.9696071548638406,0.9727118687390187,1920920
declared,central,Mon,14,400,0.992419423604138,0.9919858993019842,1966115
declared,central,Mon,15,100,0.39018833761890837,0.4656561195566971,773015
declared,central,Mon,15,200,0.8349273811187443,0.8587895087136251,1654102
declared,central,Mon,15,300,0.9694506892747505,0.9726872070268998,1920610
declared,central,Mon,15,400,0.9923326955022878,0.99186259074139,1965943
declared,central,Mon,16,100,0.38892222107246865,0.46433316715028317,770507
declared,central,Mon,16,200,0.8341250376309516,0.8579548071966855,1652512
declared,central,Mon,16,300,0.9693990614636191,0.9726865574543947,1920508
declared,central,Mon,16,400,0.9923326955022878,0.99186259074139,1965943
declared,central,Mon,17,100,0.3843301703892661,0.45927092918707363,761409
declared,central,Mon,17,200,0.8317309189367382,0.8559859679846581,1647769
declared,central,Mon,17,300,0.9690827459142343,0.9722345097061039,1919882
declared,central,Mon,17,400,0.9923321999870007,0.991860141421499,1965942
declared,central,Mon,18,100,0.051539256128523885,0.063368023142129,102106
declared,central,Mon,18,200,0.19738266149345035,0.2073452908043254,391041
declared,central,Mon,18,300,0.40336143580920014,0.41452431292559366,799113
declared,central,Mon,18,400,0.6095506479610941,0.621578168800968,1207601
declared,central,Mon,19,100,0.0441786953271914,0.053811784959734495,87524
declared,central,Mon,19,200,0.17089573876014405,0.18062560105509,338567
declared,central,Mon,19,300,0.35941736865611545,0.370375218305361,712054
declared,central,Mon,19,400,0.5635296988227633,0.5757124855582756,1116427
declared,central,Mon,20,100,0.04263156378625177,0.052275616425444094,84459
declared,central,Mon,20,200,0.16530244984419193,0.1754963271363325,327486
declared,central,Mon,20,300,0.349422944821944,0.35981791485682807,692253
declared,central,Mon,20,400,0.5500407494616398,0.5605400889135376,1089704
declared,central,Mon,21,100,0.04066430065822052,0.04953044426237964,80561
declared,central,Mon,21,200,0.15863475264101495,0.1683842946091711,314276
declared,central,Mon,21,300,0.33668303771275676,0.3473256081835931,667014
declared,central,Mon,21,400,0.5355208505314428,0.5453487841626639,1060938
declared,central,Mon,22,100,0.03970082577665366,0.04862593363601653,78653
declared,central,Mon,22,200,0.15502645872463702,0.16519574123284494,307128
declared,central,Mon,22,300,0.3292289355907814,0.33913013586433005,652246
declared,central,Mon,22,400,0.5248805138744141,0.5353049500416802,1039858
declared,central,Mon,23,100,0.039243715574946145,0.048165955691347996,77747
declared,central,Mon,23,200,0.15318852832557578,0.1632976645992667,303487
declared,central,Mon,23,300,0.3256732471783398,0.33583023338397455,645202
declared,central,Mon,23,400,0.5204659067035545,0.531258164185539,1031112
declared,central,Tue,0,100,0.038999555217669006,0.04787109866915671,77263
declared,central,Tue,0,200,0.1522754101644731,0.16252581848624614,301678
declared,central,Tue,0,300,0.3237813124836547,0.3342695040041828,641454
declared,central,Tue,0,400,0.5174679391660103,0.5287892546474109,1025173
declared,central,Tue,1,100,0.03861040300591899,0.04720564200982713,76492
declared,central,Tue,1,200,0.15148525169508917,0.16169578252011152,300112
declared,central,Tue,1,300,0.32313982742830183,0.33354065528718413,640183
declared,central,Tue,1,400,0.5168131533918929,0.5281403863787191,1023875
declared,central,Tue,2,100,0.03861040300591899,0.04720564200982713,76492
declared,central,Tue,2,200,0.15148525169508917,0.16169578252011152,300112
declared,central,Tue,2,300,0.32313982742830183,0.33354065528718413,640183
