rank,lat,lon,x_l93,y_l93,osm_node,residents_gained_est,cum_share_strict_uncond_est,also_selected_by_node_allocation_within_100m,nearest_existing_aed_m,nearest_existing_aed_name,nearest_existing_aed_basis,address,address_type,address_distance_m,geocoder,arrondissement
1,48.893786,2.373491,654064.0,6866157.5,11078813704,5224,0.1062,True,87,1090,assumed_business,98 Rue de l'Ourcq 75019 Paris,housenumber,12,api-adresse.data.gouv.fr,75019
2,48.889378,2.371643,653924.6,6865668.5,11069636520,5216,0.1089,True,25,Emmaus Defi - Fondateur Abbe Pierre - 6 rue Archereau - Accueil Emmaus Défi,parsed_text,2 Rue Archereau 75019 Paris,housenumber,4,api-adresse.data.gouv.fr,75019
3,48.89224,2.378851,654455.6,6865982.5,884211910,5176,0.1115,True,52,Bibliothèque Benjamin Rabier,assumed_business,116 Avenue de Flandre 75019 Paris,housenumber,21,api-adresse.data.gouv.fr,75019
4,48.822729,2.367077,653530.4,6858260.3,11037172444,5120,0.1141,True,8,DAE-Cpam-Olympiades,assumed_business,20 Avenue d'Ivry 75013 Paris,housenumber,8,api-adresse.data.gouv.fr,75013
5,48.847246,2.386968,655011.9,6860974.8,11101430775,4987,0.1166,True,51,VGRF Grand Paris Est - 124 boulevard Diderot - Hall showroom,parsed_text,35 Rue de Reuilly 75012 Paris,housenumber,16,api-adresse.data.gouv.fr,75012
6,48.872653,2.399369,655943.5,6863792.9,11056957968,4981,0.1191,False,57,Bibliothèque Oscar Wilde,assumed_business,20 Rue du Télégraphe 75020 Paris,housenumber,7,api-adresse.data.gouv.fr,75020
7,48.867871,2.377144,654309.1,6863273.8,11065117443,4688,0.1215,True,35,Ecole Polyvalente Saint Paul - 81 rue Jean-Pierre Timbaud - Devant les bureaux administratifs dans le passage des classes de maternelle,parsed_text,2 Rue Morand 75011 Paris,housenumber,9,api-adresse.data.gouv.fr,75011
8,48.891739,2.349824,652326.8,6865944.0,11080946138,4565,0.1238,True,11,AU MOULIN DU 18,assumed_business,4 Boulevard Ornano 75018 Paris,housenumber,11,api-adresse.data.gouv.fr,75018
9,48.856388,2.409866,656699.9,6861978.6,11107350205,4500,0.126,True,177,Docteurs Dejerine - Hall d' accueil,assumed_business,90 Rue Saint-Blaise 75020 Paris,housenumber,18,api-adresse.data.gouv.fr,75020
10,48.889098,2.322587,650327.3,6865667.1,10228779964,4479,0.1283,False,119,OUVRAGE PARIS,assumed_business,99 Avenue de Clichy 75017 Paris,housenumber,10,api-adresse.data.gouv.fr,75017
11,48.89313,2.337935,651456.4,6866105.8,11083299426,4472,0.1306,True,68,NEPTUNE,assumed_business,"Rue Montcalm 75018 Paris,Paris 18e Arrondissement",street,6,api-adresse.data.gouv.fr,75018
12,48.886786,2.350868,652398.9,6865392.5,11080946530,4468,0.1328,True,40,CLA221505202,assumed_business,18 Rue des Poissonniers 75018 Paris,housenumber,9,api-adresse.data.gouv.fr,75018
13,48.83113,2.366408,653488.7,6859194.8,11037041680,4406,0.135,False,92,DAE ESAT LEOPOLD BELLAN,assumed_business,51 Rue Clisson 75013 Paris,housenumber,18,api-adresse.data.gouv.fr,75013
14,48.845361,2.395203,655614.6,6860760.6,11101476617,4383,0.1372,False,97,DAE MAAF - COVEA IMMOBILIER - PICPUS PARIS - 3275ES00,assumed_business,32 Rue de Picpus 75012 Paris,housenumber,5,api-adresse.data.gouv.fr,75012
15,48.869711,2.382113,654675.2,6863475.5,11081535563,4381,0.1395,False,103,Résidence de service Pali-Kao,assumed_business,17 Rue des Couronnes 75020 Paris,housenumber,5,api-adresse.data.gouv.fr,75020
16,48.856163,2.404835,656330.6,6861956.2,11053147322,4377,0.1417,False,36,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,108 Rue des Haies 75020 Paris,housenumber,9,api-adresse.data.gouv.fr,75020
17,48.880824,2.372789,654001.1,6864716.6,11056831115,4350,0.1439,True,66,DAE Neoness Jaures,assumed_business,45 Rue de Meaux 75019 Paris,housenumber,6,api-adresse.data.gouv.fr,75019
18,48.861033,2.381091,654592.6,6862511.2,11056815994,4346,0.1461,True,79,DAE CULTURESPACES - ATELIER DES LUMIERES PC sécurité ,assumed_business,94 Rue du Chemin Vert 75011 Paris,housenumber,4,api-adresse.data.gouv.fr,75011
19,48.836209,2.310462,649386.9,6859793.9,10212396804,4346,0.1483,True,45,Gymnase de la Falguiere - Accueil -1,assumed_business,67 Rue de la Procession 75015 Paris,housenumber,9,api-adresse.data.gouv.fr,75015
